Code,Author,Query,h(GS),g(GS),h(WOS),g(WOS)
92,"Warner, J","Query: ""j Warner"": busengsoc",10,16,6,9
93,"White, HD","Query: ""hd White"": busengsoc & Query: ""h White"" from 1975 to 2009: soc",19,45,9,19
94,"Whittaker, S","Query: ""s Whittaker"": busengsoc",39,77,3,5
95,"Wildemuth, B","Query: ""b Wildemuth"": busengsoc",16,25,5,8
96,"Willett, P","Query: ""P Willett"": all",50,94,30,59
97,"Williams, P","Query: ""P Williams"" from 1995 to 2009: soc",14,19,8,11
98,"Wilson, C","Query: ""CS Wilson"": all & Query: ""C Wilson"" from 1980 to 2009: soc",14,21,6,10
99,"Wilson, TD","Query: ""TD Wilson"": all & Query: ""T Wilson"" from 1980 to 2009: soc",26,57,9,19
100,"Yang, CC","Query: ""CC Yang"": busengsoc",13,24,7,11
101,"Zitt, M","Query: ""M Zitt"": all",15,22,8,11
* Note h(WOS) and g(WOS) are from Citation counts by General Search - with self-citations,,,,,,
"* I did the second query on condition that there are too many records about ""D Case"", for example, in GS ",,,,,,
" by restricting the research areas and time period, or searching with middle name.",,,,,,
