Peer review survey results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No. ratings,,Median ranking,
Country of respondent,UK,India,UK,UK,UK,UK,USA,Denmark,UK,USA,UK,Canada,UK,Australia,UK,UK,USA,UK,Finland,UK,USA,Other...,UK,USA,USA,Singapore,Hong Kong,USA,UK,UK,Finland,Belgium,Israel,Australia,USA,UK,USA,Denmark,USA,Hungary,UK,Netherlands,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranked scholars,,,,,,,,,,,,,,,,,,,,,,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Large, Andrew",,,,,3,2,,,,,,,,2,,,2,,,,,2,3,,3,3,,,,,,,,,,,,,,,2,,9,,2,2.444444444
"Bar-Ilan, Judit.",4,2,,,,,1,,,,,,,2,,,2,4,,,3,3,1,2,3,,,,,,,2,,2,,,,2,3,3,,2,17,,2,2.411764706
"McClure, Charles R.",,,,,3,2,,,,,,,3,4,,,2,,,,,,2,2,,,,1,,,,,,2,2,3,1,,,,4,,13,,2,2.384615385
"Harnad, Stevan",,,,,3,2,,,,2,3,,,,1,,,1,,,,,1,,,,,,,,,2,3,3,,4,2,,3,4,2,2,16,,2,2.375
"Vakkari, Pertti",2,,,,,1,1,1,,2,,,,3,2,3,2,,3,3,,,3,3,,,,,2,3,3,,,2,3,3,2,3,2,,,,22,,2.5,2.363636364
"Huntington, Paul",4,,,,3,,,,3,,,,,,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,6,,2.5,2.333333333
"Bawden, David",4,,2,,3,2,,3,1,,1,,3,1,1,3,,,,3,,,2,,,,,,,,,,,,2,4,,,,,2,,16,,2,2.3125
"Hjorland, Birger",,,,,,2,,,,,,,,2,2,,3,4,,4,,,0,2,,,,,,,3,,,2,2,,2,2,2,,,,14,,2,2.285714286
"Jacso, Peter",,,,,3,,,,,,,3,1,2,,,1,,,,,3,3,,,2,,,,,,,,2,,3,1,2,,4,,2,14,,2,2.285714286
"Ruthven, Ian",,,,3,,,2,,,2,,,2,4,,3,,,3,3,,,0,3,,,,,1,,2,,,,2,,,2,2,,,,15,,2,2.266666667
"Foo, Schubert",3,,,,3,,,,,,,,,2,,,,,,,,2,0,,,,4,,,,,,,2,,2,2,,,,,,9,,2,2.222222222
"Liddy, Elisabeth D.",,,,3,,1,2,,,3,,,,3,,3,3,,2,,,,1,2,,,,,0,,,,,,3,,3,,2,,,,14,,2.5,2.214285714
"Dillon, Andrew",,,,,3,2,2,,,,4,,2,3,,,2,,,3,,,0,2,2,3,,1,,,,,,,2,,2,2,,,,,16,,2,2.1875
"Ford, Nigel",,,,,3,1,2,,,,2,,2,2,,,2,,,3,,,3,,,2,,,,4,2,,,,1,3,,1,2,,2,,17,,2,2.176470588
"McKnight, C.",,,2,,3,,,,1,,,,2,3,1,,,,,,,,1,,,3,,,,,,,,,,,3,,,,,,9,,2,2.111111111
"Van House, Nancy",,,,,,2,,,,,1,,,2,,,2,,,,,,2,2,,,,,,,,,,,,,3,,2,,3,,9,,2,2.111111111
"Ellis, David",,,,,2,3,,2,2,,0,,2,2,2,3,3,,2,2,,,3,3,,,,,,1,,,,2,1,,3,1,2,,3,,21,,2,2.095238095
"Larson, Ray R.",,,,,,1,,3,,2,,,,2,,3,2,,,,,,0,3,,3,4,,0,,,,,,,,3,1,2,,,,14,,2,2.071428571
"Soergel, Dagobert",,,,,,,0,2,,2,1,,,3,,,2,,,,,,0,2,,,,,,4,3,,,2,3,,3,2,2,,,,15,,2,2.066666667
"Ounis, Iadh ",,,,3,,,,,,,,,,,,4,,,3,,,,0,,,,,,0,,,,,,,,,,,,,,5,,3,2
"Meyer, Martin",,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,3,,3,4,,2.5,2
"Beheshti, Jamshid",,,,,,2,,,,,,,,2,,,3,,,,,,2,,,,,,,,,,,,1,,,,,,,,5,,2,2
"Burrell, Quentin L.",,4,,,,2,,,,,,,,,,,,2,,,,,0,3,,,,,,,,3,,2,0,,,1,3,,,2,11,,2,2
"Case, Donald O.",,,,,3,2,3,2,,2,,,,2,,,1,,,,,,0,2,3,,,,,,2,,,2,0,,3,3,2,,,,16,,2,2
"de Moya-Anegon, Felix",,,,,,,,,,,,,,,,,,3,,,,,2,2,,,,,,,,1,,,,,,,,,,2,5,,2,2
"Van Leeuwen, Thed N.",,4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2,,,,,,,1,,,3,5,,2,2
"Whittaker, Steve",,,,4,,,,,,,,,,2,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,4,,2,2
"Wilson, Concepcion S.",,3,,,,,,,,,,,,1,,,,2,,,3,,0,2,,,,,,,,2,3,,,,,,,,,,8,,2,2
